ID,ЗАГОЛОВОК,ОПИСАНИЕ,ДЛИТ.,СТАТУС,ДАТА ПУБЛИКАЦИИ,ТЕГИ,ОЦЕНКА VIDIQ,ПРОСМОТРЫ,ЛАЙКИ YT,КОММЕНТАРИИ YT,КОЛ-ВО ССЫЛОК В ОПИСАНИИ,КОЛ-ВО СЛОВ В ОПИСАНИИ,ПРЕДЛОЖЕНИЯ ОТ АВТОРА,ВОВЛЕЧЕННОСТЬ АУДИТОРИИ
ebDMhF2Gsng,cat - designer,Chipi chipi chapa chapa #cat #brickbreaker #funny #shorts,00:31,public,04.02.2024,,0,0,Нравится,0,0,8,2,0
HyCa657WHL4,Chipi chipi chapa chapa #cat #brickbreaker #funny #shorts,Chipi chipi chapa chapa #cat #brickbreaker #funny #shorts    this channel with the kitty videos,00:12,public,20.01.2024,"chipichipi, chipichipichapachapa, chapachapa, chipi chipi chapa chapa dubi dubi daba daba",0,0,Нравится,0,0,14,2,0
ica1fJXYv4M,cat being squeezed on the table,,00:29,public,20.01.2024,,0,1,Нравится,0,0,0,0,0
PjYiIevpL-g,#cat #animals #respect,#cat #respect #funny,00:35,public,19.01.2024,,0,1,0,0,0,3,0,0
T-A9DhCOalI,#cat #funny,#cat #respect #funnyvideo #funny,00:58,public,19.01.2024,,0,0,Нравится,0,0,4,1,0
wGgLfXfg9-Y,#cat #funny,#cat #respect #funnyvideo #funny,00:05,public,18.01.2024,,0,0,Нравится,0,0,4,0,0
Y_jeXheNOfo,#cat #animals #respect,#cat #respect #funny,00:08,public,18.01.2024,,0,0,Нравится,0,0,3,0,0
D_5tWW92HgM,Fuzzy moments                                    #cat #animals #respect,,00:24,public,18.01.2024,,0,1,Нравится,0,0,0,1,0
GBJmwAG0vQg,Fuzzy moments.                  #respect #cat #animals,,00:48,public,18.01.2024,,4.754887502163468,3,Нравится,0,0,0,0,0
MYbHofRf6h0,Fuzzy moments #cat  #animals #respect #shorts,,00:08,public,17.01.2024,,0,0,Нравится,0,0,0,2,0
